Datetime,WHITBYCGS,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,PICKERINGA-G1,PICKERINGA-G4,PICKERINGB-G5,PICKERINGB-G6,PICKERINGB-G7,PICKERINGB-G8,TADOUGLAS,HALTONHILLS-LT_G1,HALTONHILLS-LT_G2,HALTONHILLS-LT_G3,THOROLDCGS,GTAA-G1,GTAA-G2,GTAA-G3,BECK1,BECK2,BECK2 PGS,DECEWFALLS,DECEWND1,GRAND VALLEY 3,GRANDSF,GRANDWF,Sum_Consumption,Temperature,WindSpeed,Humidity,Pressure
2015-01-01 8:00,57,0,0,0,511,516,508,515,0,521,110,0,0,0,0,0,0,0,90,975,0,131,20,0,0,143,4097,267.5986667,9,100,1028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 17:00,57,0,112,71,510,516,507,514,0,519,57,0,0,0,0,0,0,0,90,991,0,120,20,0,0,137,4221,269.3006667,9,97,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 18:00,57,0,112,71,512,517,508,515,0,520,56,0,0,0,0,0,0,0,90,920,0,120,20,0,0,136,4154,269.435,9,98,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 19:00,57,0,112,71,511,516,508,515,0,521,56,0,0,0,0,0,0,0,90,973,0,119,20,0,0,134,4203,269.588,9,96,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 20:00,57,0,112,72,511,516,508,515,0,521,56,0,0,0,0,0,0,0,90,915,0,118,20,0,0,134,4145,269.727,9,96,1023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 21:00,57,0,112,72,511,517,508,515,0,521,55,0,0,0,0,0,0,0,90,970,0,118,20,0,0,131,4197,269.964,9,96,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 22:00,57,0,22,17,510,516,508,515,0,521,55,0,0,0,0,0,0,0,91,988,0,118,20,0,0,130,4068,270.0703333,9,96,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 23:00,57,0,0,0,510,515,508,515,0,519,56,0,0,0,0,0,0,0,90,942,2,117,20,0,0,126,3977,270.2746667,9,96,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 8:00,57,0,0,0,511,517,508,515,0,520,57,0,0,0,0,0,0,0,91,993,1,119,15,0,0,80,3984,271.1423333,7,90,1029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
