forecast__forecastday__hour__temp_c	forecast__forecastday__hour__pressure_mb	forecast__forecastday__hour__humidity
22.5	1013	76
22	1012	77
21.4	1012	78
20.9	1012	79
20.8	1012	79
20.6	1012	79
20.5	1012	79
21.1	1012	78
21.6	1012	76
22.2	1012	74
23	1011	71
23.7	1011	68
24.5	1011	65
24.8	1011	64
25.2	1011	62
25.5	1011	61
25.5	1010	61
25.5	1010	61
25.5	1010	60
24.8	1010	61
24.2	1010	62
23.5	1010	63
22.8	1010	64
22.2	1011	66
