"location__name","location__region","location__country","location__lat","location__lon","location__tz_id","location__localtime_epoch","location__localtime","forecast__forecastday__date","forecast__forecastday__date_epoch","forecast__forecastday__day__maxtemp_c","forecast__forecastday__day__maxtemp_f","forecast__forecastday__day__mintemp_c","forecast__forecastday__day__mintemp_f","forecast__forecastday__day__avgtemp_c","forecast__forecastday__day__avgtemp_f","forecast__forecastday__day__maxwind_mph","forecast__forecastday__day__maxwind_kph","forecast__forecastday__day__totalprecip_mm","forecast__forecastday__day__totalprecip_in","forecast__forecastday__day__avgvis_km","forecast__forecastday__day__avgvis_miles","forecast__forecastday__day__avghumidity","forecast__forecastday__day__condition__text","forecast__forecastday__day__condition__icon","forecast__forecastday__day__condition__code","forecast__forecastday__day__uv","forecast__forecastday__astro__sunrise","forecast__forecastday__astro__sunset","forecast__forecastday__astro__moonrise","forecast__forecastday__astro__moonset","forecast__forecastday__astro__moon_phase","forecast__forecastday__astro__moon_illumination","forecast__forecastday__hour__time_epoch","forecast__forecastday__hour__time","forecast__forecastday__hour__temp_c","forecast__forecastday__hour__temp_f","forecast__forecastday__hour__is_day","forecast__forecastday__hour__condition__text","forecast__forecastday__hour__condition__icon","forecast__forecastday__hour__condition__code","forecast__forecastday__hour__wind_mph","forecast__forecastday__hour__wind_kph","forecast__forecastday__hour__wind_degree","forecast__forecastday__hour__wind_dir","forecast__forecastday__hour__pressure_mb","forecast__forecastday__hour__pressure_in","forecast__forecastday__hour__precip_mm","forecast__forecastday__hour__precip_in","forecast__forecastday__hour__humidity","forecast__forecastday__hour__cloud","forecast__forecastday__hour__feelslike_c","forecast__forecastday__hour__feelslike_f","forecast__forecastday__hour__windchill_c","forecast__forecastday__hour__windchill_f","forecast__forecastday__hour__heatindex_c","forecast__forecastday__hour__heatindex_f","forecast__forecastday__hour__dewpoint_c","forecast__forecastday__hour__dewpoint_f","forecast__forecastday__hour__will_it_rain","forecast__forecastday__hour__chance_of_rain","forecast__forecastday__hour__will_it_snow","forecast__forecastday__hour__chance_of_snow","forecast__forecastday__hour__vis_km","forecast__forecastday__hour__vis_miles"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532700000","2018-07-27 10:00","22.0","71.5","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","7.8","12.5","251","WSW","1013.0","30.4","0.0","0.0","58","20","22.8","73.0","22.8","73.0","22.8","73.0","14.5","58.0","0","1","0","0","18.8","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532703600","2018-07-27 11:00","22.7","72.9","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","8.4","13.4","250","WSW","1014.0","30.4","0.0","0.0","54","26","23.5","74.4","23.5","74.4","23.5","74.4","14.2","57.6","0","1","0","0","18.6","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532707200","2018-07-27 12:00","23.5","74.3","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","8.9","14.4","250","WSW","1014.0","30.4","0.0","0.0","50","32","24.3","75.7","24.3","75.7","24.3","75.7","14.0","57.2","0","0","0","0","18.5","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532710800","2018-07-27 13:00","23.8","74.9","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","9.5","15.2","251","WSW","1013.0","30.4","0.0","0.0","50","33","24.6","76.3","24.6","76.3","24.6","76.3","14.0","57.2","0","1","0","0","18.4","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532714400","2018-07-27 14:00","24.2","75.5","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","10.0","16.1","251","WSW","1013.0","30.4","0.0","0.0","49","35","25.0","76.9","25.0","76.9","25.0","76.9","14.0","57.2","0","1","0","0","18.2","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532718000","2018-07-27 15:00","24.5","76.1","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","10.5","16.9","251","WSW","1013.0","30.4","0.0","0.0","49","36","25.3","77.5","25.3","77.5","25.3","77.5","14.0","57.2","0","0","0","0","18.1","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532721600","2018-07-27 16:00","24.4","75.9","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","9.9","16.0","253","WSW","1013.0","30.4","0.0","0.0","49","33","25.2","77.4","25.2","77.4","25.2","77.4","13.8","56.8","0","1","0","0","18.0","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532725200","2018-07-27 17:00","24.3","75.7","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","9.3","15.0","255","WSW","1014.0","30.4","0.0","0.0","49","30","25.1","77.2","25.1","77.2","25.1","77.2","13.5","56.4","0","1","0","0","17.9","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532728800","2018-07-27 18:00","24.2","75.6","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","8.7","14.0","257","WSW","1014.0","30.4","0.0","0.0","49","26","25.0","77.0","25.0","77.0","25.0","77.0","13.3","55.9","0","0","0","0","17.8","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532732400","2018-07-27 19:00","23.3","73.9","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","8.1","13.1","256","WSW","1015.0","30.4","0.0","0.0","51","22","24.1","75.4","24.1","75.4","24.1","75.4","13.1","55.6","0","1","0","0","18.0","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532736000","2018-07-27 20:00","22.4","72.3","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","7.5","12.1","255","WSW","1015.0","30.5","0.0","0.0","52","17","23.2","73.8","23.2","73.8","23.2","73.8","12.9","55.2","0","1","0","0","18.2","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532739600","2018-07-27 21:00","21.5","70.7","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.9","11.2","254","WSW","1016.0","30.5","0.0","0.0","54","12","22.3","72.1","22.3","72.1","22.3","72.1","12.7","54.9","0","0","0","0","18.4","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532743200","2018-07-27 22:00","21.0","69.7","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.7","10.8","250","WSW","1015.0","30.5","0.0","0.0","58","12","21.8","71.2","21.8","71.2","21.8","71.2","13.2","55.8","0","1","0","0","18.8","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532746800","2018-07-27 23:00","20.4","68.8","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.5","10.4","247","WSW","1015.0","30.5","0.0","0.0","62","12","21.2","70.2","21.2","70.2","21.2","70.2","13.8","56.8","0","1","0","0","19.3","11.0"
