"location__name","location__region","location__country","location__lat","location__lon","location__tz_id","location__localtime_epoch","location__localtime","forecast__forecastday__date","forecast__forecastday__date_epoch","forecast__forecastday__day__maxtemp_c","forecast__forecastday__day__maxtemp_f","forecast__forecastday__day__mintemp_c","forecast__forecastday__day__mintemp_f","forecast__forecastday__day__avgtemp_c","forecast__forecastday__day__avgtemp_f","forecast__forecastday__day__maxwind_mph","forecast__forecastday__day__maxwind_kph","forecast__forecastday__day__totalprecip_mm","forecast__forecastday__day__totalprecip_in","forecast__forecastday__day__avgvis_km","forecast__forecastday__day__avgvis_miles","forecast__forecastday__day__avghumidity","forecast__forecastday__day__condition__text","forecast__forecastday__day__condition__icon","forecast__forecastday__day__condition__code","forecast__forecastday__day__uv","forecast__forecastday__astro__sunrise","forecast__forecastday__astro__sunset","forecast__forecastday__astro__moonrise","forecast__forecastday__astro__moonset","forecast__forecastday__astro__moon_phase","forecast__forecastday__astro__moon_illumination","forecast__forecastday__hour__time_epoch","forecast__forecastday__hour__time","forecast__forecastday__hour__temp_c","forecast__forecastday__hour__temp_f","forecast__forecastday__hour__is_day","forecast__forecastday__hour__condition__text","forecast__forecastday__hour__condition__icon","forecast__forecastday__hour__condition__code","forecast__forecastday__hour__wind_mph","forecast__forecastday__hour__wind_kph","forecast__forecastday__hour__wind_degree","forecast__forecastday__hour__wind_dir","forecast__forecastday__hour__pressure_mb","forecast__forecastday__hour__pressure_in","forecast__forecastday__hour__precip_mm","forecast__forecastday__hour__precip_in","forecast__forecastday__hour__humidity","forecast__forecastday__hour__cloud","forecast__forecastday__hour__feelslike_c","forecast__forecastday__hour__feelslike_f","forecast__forecastday__hour__windchill_c","forecast__forecastday__hour__windchill_f","forecast__forecastday__hour__heatindex_c","forecast__forecastday__hour__heatindex_f","forecast__forecastday__hour__dewpoint_c","forecast__forecastday__hour__dewpoint_f","forecast__forecastday__hour__will_it_rain","forecast__forecastday__hour__chance_of_rain","forecast__forecastday__hour__will_it_snow","forecast__forecastday__hour__chance_of_snow","forecast__forecastday__hour__vis_km","forecast__forecastday__hour__vis_miles"
"Toronto","Ontario","Canada","43.67","-79.42","America/Toronto","1532891892","2018-07-29 15:18","2018-07-27","1532649600","25.2","77.4","20.2","68.4","23.2","73.8","11.2","18.0","0.1","0.0","18.4","11.0","60.0","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","0.0","06:01 AM","08:46 PM","08:48 PM","05:43 AM","Full Moon","90","1532664000","2018-07-27 00:00","21.5","70.7","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","7.4","11.9","291","WNW","1011.0","30.3","0.0","0.0","67","3","22.3","72.1","22.3","72.1","22.3","72.1","15.7","60.3","0","0","0","0","18.4","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532667600","2018-07-27 01:00","21.0","69.7","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","7.2","11.5","287","WNW","1011.0","30.3","0.0","0.0","69","4","21.8","71.2","21.8","71.2","21.8","71.2","15.6","60.0","0","1","0","0","18.4","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532671200","2018-07-27 02:00","20.4","68.8","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.9","11.2","283","WNW","1011.0","30.3","0.0","0.0","71","5","21.2","70.2","21.2","70.2","21.2","70.2","15.4","59.8","0","1","0","0","18.3","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532674800","2018-07-27 03:00","19.9","67.8","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.7","10.8","279","W","1011.0","30.3","0.0","0.0","73","6","20.7","69.3","20.7","69.3","20.7","69.3","15.3","59.5","0","0","0","0","18.3","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532678400","2018-07-27 04:00","19.8","67.6","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.9","11.0","271","W","1011.0","30.3","0.0","0.0","73","7","20.6","69.0","20.6","69.0","20.6","69.0","15.4","59.8","0","1","0","0","18.7","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532682000","2018-07-27 05:00","19.6","67.3","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","7.0","11.3","263","W","1011.0","30.3","0.0","0.0","74","8","20.4","68.8","20.4","68.8","20.4","68.8","15.6","60.0","0","1","0","0","19.0","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532685600","2018-07-27 06:00","19.5","67.1","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","7.2","11.5","256","WSW","1012.0","30.4","0.0","0.0","75","9","20.3","68.5","20.3","68.5","20.3","68.5","15.7","60.3","0","0","0","0","19.4","12.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532689200","2018-07-27 07:00","20.1","68.1","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","7.2","11.5","254","WSW","1012.0","30.4","0.0","0.0","71","11","20.9","69.6","20.9","69.6","20.9","69.6","15.4","59.7","0","1","0","0","19.2","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532692800","2018-07-27 08:00","20.6","69.1","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","7.2","11.5","252","WSW","1013.0","30.4","0.0","0.0","66","13","21.4","70.6","21.4","70.6","21.4","70.6","15.0","59.1","0","1","0","0","19.1","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532696400","2018-07-27 09:00","21.2","70.2","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","7.2","11.5","251","WSW","1013.0","30.4","0.0","0.0","62","14","22.0","71.6","22.0","71.6","22.0","71.6","14.7","58.5","0","0","0","0","18.9","11.0"
