datetime,Temp,Supply_MW,Humidity,wind_speed
2017-01-06 12:00,260.63,12,72,6
2017-01-06 13:00,260.33,12,66,8
2017-01-06 14:00,260.33,12,66,6
2017-01-06 15:00,261.55,12,66,5
2017-01-06 16:00,263.16,12,56,5
2017-01-06 17:00,264.34,12,52,6
2017-01-06 18:00,265.55,11,48,7
2017-01-06 19:00,265.74,12,44,5
2017-01-06 20:00,265.76,11,48,6
2017-01-06 21:00,266.15,12,44,6
2017-01-06 22:00,265.35,12,48,6
2017-01-06 23:00,264.16,12,48,7
2017-01-07 0:00,263.35,12,52,6
2017-01-07 1:00,262.95,12,52,4
2017-01-07 2:00,262.74,12,56,6
2017-01-07 3:00,262.15,12,61,4
2017-01-07 4:00,261.63,12,61,6
2017-01-07 5:00,261.37,12,61,4
2017-01-07 6:00,260.88,12,61,4
2017-01-07 7:00,260.63,12,72,5
2017-01-07 8:00,259.84,12,72,3
2017-01-07 9:00,259.84,12,66,4
2017-01-07 10:00,259.84,12,66,4
2017-01-07 11:00,259.09,12,66,2
2017-01-07 12:00,259.09,12,72,2
2017-01-07 13:00,258.92,12,78,3
2017-01-07 14:00,259.13,12,78,2
2017-01-07 15:00,260.72,12,78,2
2017-01-07 16:00,262.94,12,72,4
2017-01-07 17:00,264.93,12,67,4
2017-01-07 18:00,265.55,12,62,4
2017-01-07 19:00,265.96,12,62,3
2017-01-07 20:00,265.76,12,57,6
2017-01-07 21:00,265.55,12,57,6
2017-01-07 22:00,264.79,12,48,9
2017-01-07 23:00,263.97,12,56,4
2017-01-08 0:00,263.15,12,66,4
2017-01-08 1:00,262.76,12,56,7
2017-01-08 2:00,262.35,12,61,9
2017-01-08 3:00,262.37,12,66,9
2017-01-08 4:00,261.9,12,66,9
2017-01-08 5:00,261.9,12,72,9
2017-01-08 6:00,261.9,12,72,10
2017-01-08 7:00,261.9,12,78,9
2017-01-08 8:00,262.61,12,78,10
2017-01-08 9:00,263.4,12,67,6
2017-01-08 10:00,263.6,12,78,6
2017-01-08 11:00,263.44,12,78,4
2017-01-08 12:00,263.14,12,52,6
2017-01-08 13:00,262.97,12,85,3
2017-01-08 14:00,262.81,12,72,6
2017-01-08 15:00,262.79,12,72,6
2017-01-08 16:00,262.96,12,61,9
2017-01-08 17:00,263.36,12,56,8
2017-01-08 18:00,263.15,12,47,8
2017-01-08 19:00,263.16,12,51,9
2017-01-08 20:00,263.55,12,52,5
2017-01-08 21:00,263.37,12,61,4
2017-01-08 22:00,262.95,12,52,5
2017-01-08 23:00,262.16,12,61,2
2017-01-09 0:00,261.96,12,47,6
2017-01-09 1:00,261.76,12,51,4
2017-01-09 2:00,260.96,12,56,3
2017-01-09 3:00,261.36,12,66,5
2017-01-09 4:00,261.63,12,66,4
2017-01-09 5:00,262.27,12,72,6
2017-01-09 6:00,263.08,12,72,2
2017-01-09 7:00,263.31,12,67,7
2017-01-09 8:00,263.86,12,66,3
